Publisher,Best Price,Type,Category,AS,DR,Top Country,Organic Traffic (top country),Traffic (top country),Ref Domains,Total Organic Traffic,Total Traffic,Link Follow,Best Niche Prices,Best Seller 1st,Referral Link 1st,Price 1st,Rating 1st,Best Seller 2nd,Referral Link 2nd,Price 2nd,Rating 2nd,Best Seller 3rd,Referral Link 3rd,Price 3rd,Rating 3rd
023030.com,26,Guest Post,Food,2,52,,0,0,151,0,0,dofollow,,linksmanagement.com,https://www.linksmanagement.com/get-a-free-seo-report/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=11,26,5.0,Assisted Purchase,,46,,,,,
1001canvas.com,27,Guest Post,Home and Family,21,16,us,1218,1799,384,4006,2302,dofollow,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,27,9.0,Assisted Purchase,,47,,,,,
100pour100tierce.net,53,Link Insertion,News and Media,9,56,it,137,0,888,280,436,dofollow,,linkpublishers.com,https://dashboard.linkpublishers.com/register/MAX5A8405,53,8.0,Assisted Purchase,,73,,meup.com,https://meup.com/?ref=6807A674CEA1F,99,
12and60.com,18,Guest Post,"Fashion, Hobbies and Leisure, Personal Blogs",28,44,us,1324,2852,1679,4052,13255,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,18,8.5,Assisted Purchase,,38,,linksmanagement.com,https://www.linksmanagement.com/get-a-free-seo-report/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=11,48,5.0
1arabia.com,45,Guest Post,"Business, Internet, Technology",3,20,ae,0,0,455,0,460,dofollow,"Casino - 135, Finance&Trading - 135",collaborator.pro,https://collaborator.pro/?ref=quRNI8,45,9.0,Assisted Purchase,,65,,,,,
1st-street.com,70,Link Insertion,Business,12,33,us,3,511,8806,3,11258,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,70,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,75,,Assisted Purchase,,90,
1technation.com,3672,Guest Post,"Business, Sports, Technology",26,49,ph,1286,0,843,2535,16016,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,3672,8.5,Assisted Purchase,,4040,,,,,
247healthportal.com,35,Link Insertion,Health and Medicine,3,8,,0,0,328,0,152,dofollow,CBD - 46.9,guestpostlinks.net,https://guestpostlinks.net/ref/11/,35,8.5,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,49,,Assisted Purchase,,55,
269woodwerks.com,25,Guest Post,Lifestyle,12,60,us,4348,331,67,6245,2622,dofollow,"Casino - 56.9, Finance&Trading - 255, CBD - 56.9, Crypto - 56.9, Adult - 255, Medicine - 255",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,25,8.5,guestpostlinks.net,https://guestpostlinks.net/ref/11/,29,8.5,Assisted Purchase,,45,
269woodwerks.com,29,Link Insertion,Lifestyle,12,60,us,4348,331,67,6245,2622,dofollow,"Casino - 56.9, CBD - 56.9, Crypto - 56.9",guestpostlinks.net,https://guestpostlinks.net/ref/11/,29,8.5,Assisted Purchase,,49,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,112,8.5
