Publisher,User`s Price,Best Price,Price Difference,Type,Category,AS,DR,Top Country,Organic Traffic,Ref Domains,Link Follow,Best Niche Prices,Best Seller 1st,Referral Link 1st,Price 1st,Rating 1st,Best Seller 2nd,Referral Link 2nd,Price 2nd,Rating 2nd,Best Seller 3rd,Referral Link 3rd,Price 3rd,Rating 3rd
makerstations.io,NaN,220,NaN,Guest Post,Games,27,47,us,1143,710,dofollow,"Casino - 319, Finance&Trading - 319",collaborator.pro,https://collaborator.pro/?ref=quRNI8,220,9.0,Assisted Purchase,,242,,,,,
mangoster.com,NaN,142,NaN,Guest Post,Health and Medicine,5,15,,0,939,dofollow,"Casino - 277.3, Finance&Trading - 206.5, CBD - 206.5, Crypto - 206.5",bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,142,7.5,Assisted Purchase,,162,,,,,
mash-elle.com,NaN,420,NaN,Guest Post,Lifestyle,23,0,us,1892,2238,,,meup.com,https://meup.com/?ref=6807A674CEA1F,420,,Assisted Purchase,,462,,,,,
mash-elle.com,NaN,306,NaN,Link Insertion,Lifestyle,23,0,us,1892,2238,,,meup.com,https://meup.com/?ref=6807A674CEA1F,306,,Assisted Purchase,,337,,,,,
aboutinsider.com,NaN,35,NaN,Link Insertion,"Business, Health and Medicine, Technology",20,49,sg,88,2432,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,35,8.5,linkpublishers.com,https://dashboard.linkpublishers.com/register/MAX5A8405,40,8.0,guestpostlinks.net,https://guestpostlinks.net/ref/11/,40,8.5
activemyhome.com,NaN,57,NaN,Link Insertion,"Business, Construction and Repairs, Home and Family",5,27,ao,0,821,dofollow,,guestpostlinks.net,https://guestpostlinks.net/ref/11/,57,8.5,Assisted Purchase,,77,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,86,
advisoryexcellence.com,NaN,163,NaN,Link Insertion,"Business, Career and Employment, Technology",30,54,us,1387,2303,dofollow,Crypto - 323.9,linkpublishers.com,https://dashboard.linkpublishers.com/register/MAX5A8405,163,8.0,Assisted Purchase,,227,,guestpostlinks.net,https://guestpostlinks.net/ref/11/,260,8.5
airgunmaniac.com,NaN,108,NaN,Link Insertion,"Business, Games, Sports",5,17,uk,0,1446,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,108,8.5,Assisted Purchase,,158,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,316,
alltopstartups.com,NaN,201,NaN,Link Insertion,"Business, Startups, Technology",25,59,us,164,3247,dofollow,,meup.com,https://meup.com/?ref=6807A674CEA1F,201,,Assisted Purchase,,222,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,233,8.5
bignewsnetwork.com,NaN,26,NaN,Link Insertion,"Business, Fashion, News and Media",57,75,in,56105,30596,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,26,8.5,Assisted Purchase,,92,,,,,
