Publisher,User`s Price,Best Price,Price Difference,Type,Category,AS,DR,Top Country,Organic Traffic,Ref Domains,Link Follow,Best Niche Prices,Best Seller 1st,Referral Link 1st,Price 1st,Rating 1st,Best Seller 2nd,Referral Link 2nd,Price 2nd,Rating 2nd,Best Seller 3rd,Referral Link 3rd,Price 3rd,Rating 3rd
m2sys.com,NaN,180,NaN,Link Insertion,"Internet, Technology",27,52,sg,990,1830,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,180,8.5,Assisted Purchase,,200,,,,,
thedubrovniktimes.com,NaN,77,NaN,Link Insertion,"Lifestyle, News and Media, Travelling",37,55,hr,2794,5718,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,77,8.5,Assisted Purchase,,97,,meup.com,https://meup.com/?ref=6807A674CEA1F,169,
allwomenstalk.com,NaN,202,NaN,Link Insertion,"Beauty, Fashion, For Women",38,68,us,10981,15205,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,202,8.5,Assisted Purchase,,223,,prnews.io,https://prnews.io/sites?i=3738683,373,10.0
animationxpress.com,NaN,97,NaN,Link Insertion,"Business, Movies, Technology",38,62,in,14824,8091,dofollow,Casino - 2177.1,prnews.io,https://prnews.io/sites?i=3738683,97,10.0,Assisted Purchase,,117,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,210,8.5
absoluteanime.com,NaN,103,NaN,Guest Post,Movies,31,44,us,2908,4451,dofollow,"Casino - 144.9, CBD - 144.9, Crypto - 144.9, Adult - 413, Dating - 413, Finance&Trading - 413",guestpostlinks.net,https://guestpostlinks.net/ref/11/,103,8.5,collaborator.pro,https://collaborator.pro/?ref=quRNI8,120,9.0,Assisted Purchase,,123,
androidheadlines.com,NaN,520,NaN,Guest Post,"Gadgets, News and Media, Technology",51,77,us,65914,33373,nofollow,"Casino - 909.98, Crypto - 909.98, Adult - 909.98, Finance&Trading - 1675.6",prposting.com,https://prposting.com/ref/RnK1lLPr,520,6.5,ereferer.com,https://ereferer.com,589,3.0,Private Seller,,660,
anfieldindex.com,NaN,220,NaN,Guest Post,"Entertainment, Games, Sports",43,74,uk,64347,6197,dofollow,"Casino - 323, Crypto - 383.5, Finance&Trading - 383.5",prposting.com,https://prposting.com/ref/RnK1lLPr,220,6.5,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,225,8.5,Assisted Purchase,,242,
architecturelab.net,NaN,312,NaN,Guest Post,"Art, Home and Family, Real estate",32,63,us,3126,8258,dofollow,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,312,9.0,Assisted Purchase,,344,,whitepress.com,https://www.whitepress.com/gihka,508,
bbqboy.net,NaN,423,NaN,Guest Post,"Personal Blogs, Places, Travelling",34,30,us,22774,2793,dofollow,Finance&Trading - 572.3,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,423,8.5,Assisted Purchase,,432,,whitepress.com,https://www.whitepress.com/gihka,483,
bocaratontribune.com,NaN,376,NaN,Guest Post,"Business, Entertainment, News and Media",39,59,us,23459,5542,dofollow,"Casino - 614.49, Finance&Trading - 710, Dating - 710, CBD - 820.1, Crypto - 820.1",guestpostlinks.net,https://guestpostlinks.net/ref/11/,376,8.5,backlinked.com,https://backlinked.com?ref=otjmnzu,396,5.5,Assisted Purchase,,414,
businessnewsthisweek.com,NaN,53,NaN,Guest Post,"Business, Finance, Technology",45,74,in,3218,7815,dofollow,"Casino - 199, Finance&Trading - 277.3, CBD - 277.3, Crypto - 277.3",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,53,8.5,prnews.io,https://prnews.io/sites?i=3738683,58,10.0,Private Seller,,66,
checkasalary.co.uk,NaN,132,NaN,Guest Post,"Business, Career and Employment, Education",35,53,uk,6848,1524,dofollow,"Casino - 327.71, Finance&Trading - 327.71, Dating - 327.71",Private Seller,,132,,guestpostlinks.net,https://guestpostlinks.net/ref/11/,151,8.5,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,166,8.5
chimpreports.com,NaN,120,NaN,Guest Post,"Business, Entertainment, News and Media",32,60,us,2849,6283,dofollow,"Casino - 270, Finance&Trading - 270, Dating - 270, CBD - 357, Crypto - 357, Medicine - 357",collaborator.pro,https://collaborator.pro/?ref=quRNI8,120,9.0,Assisted Purchase,,140,,whitepress.com,https://www.whitepress.com/gihka,177,
cine-vue.com,NaN,381,NaN,Guest Post,"Art, Entertainment, Movies",30,50,uk,380,2151,dofollow,"Casino - 753, Finance&Trading - 753, Dating - 753, Adult - 1180, Crypto - 1180",whitepress.com,https://www.whitepress.com/gihka,381,,Assisted Purchase,,420,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,473,9.0
absoluteanime.com,NaN,155,NaN,Link Insertion,Movies,31,44,us,2908,4451,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,155,,Assisted Purchase,,175,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,187,
advfn.com,NaN,345,NaN,Link Insertion,Finance,64,73,uk,615097,26818,nofollow,,prnews.io,https://prnews.io/sites?i=3738683,345,10.0,Assisted Purchase,,380,,,,,
androidheadlines.com,NaN,675,NaN,Link Insertion,"Gadgets, News and Media, Technology",51,77,us,65914,33373,nofollow,"Casino - 1131.9, Crypto - 1538.9",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,675,8.5,guestpostlinks.net,https://guestpostlinks.net/ref/11/,716,8.5,Assisted Purchase,,743,
anfieldindex.com,NaN,183,NaN,Link Insertion,"Entertainment, Games, Sports",43,74,uk,64347,6197,dofollow,"Casino - 1699.2, Crypto - 1699.2, Finance&Trading - 1699.2",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,183,8.5,Assisted Purchase,,203,,bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,1699,7.5
architecturelab.net,NaN,188,NaN,Link Insertion,"Art, Home and Family, Real estate",32,63,us,3126,8258,dofollow,,linkpublishers.com,https://dashboard.linkpublishers.com/register/MAX5A8405,188,8.0,Assisted Purchase,,208,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1244,
advfn.com,NaN,733,NaN,Guest Post,Finance,64,73,uk,615097,26818,nofollow,"Casino - 788, Finance&Trading - 788, Crypto - 788, CBD - 788",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,733,8.5,backlinked.com,https://backlinked.com?ref=otjmnzu,740,5.5,meup.com,https://meup.com/?ref=6807A674CEA1F,788,
allwomenstalk.com,NaN,54,NaN,Guest Post,"Beauty, Fashion, For Women",38,68,us,10981,15205,dofollow,"Dating - 910, CBD - 910, Crypto - 910",linksmanagement.com,https://www.linksmanagement.com/get-a-free-seo-report/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=11,54,5.0,Assisted Purchase,,74,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,202,8.5
animationxpress.com,NaN,247,NaN,Guest Post,"Business, Movies, Technology",38,62,in,14824,8091,dofollow,Casino - 395.3,prposting.com,https://prposting.com/ref/RnK1lLPr,247,6.5,Assisted Purchase,,272,,guestpostlinks.net,https://guestpostlinks.net/ref/11/,304,8.5
fingerlakes1.com,NaN,158,NaN,Link Insertion,"Business, News and Media, Sports",45,72,us,81046,16052,dofollow,"Casino - 325.9, CBD - 289.9, Crypto - 219.9",guestpostlinks.net,https://guestpostlinks.net/ref/11/,158,8.5,Assisted Purchase,,158,,meup.com,https://meup.com/?ref=6807A674CEA1F,189,
cricketworld.com,NaN,795,NaN,Guest Post,Sports,59,59,in,2313126,12139,dofollow,"Casino - 885, Finance&Trading - 885, Dating - 885, Crypto - 1103.3, CBD - 1156, Medicine - 1156",ereferer.com,https://ereferer.com,795,3.0,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,849,8.5,collaborator.pro,https://collaborator.pro/?ref=quRNI8,875,9.0
davestravelcorner.com,NaN,225,NaN,Guest Post,"Lifestyle, Travelling",34,47,us,15268,5213,dofollow,"Casino - 450, Finance&Trading - 450, Dating - 450, Crypto - 840",collaborator.pro,https://collaborator.pro/?ref=quRNI8,225,9.0,Assisted Purchase,,360,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,372,8.5
davidicke.com,NaN,127,NaN,Guest Post,"Business, News and Media, Society",37,64,uk,6977,12415,dofollow,"Casino - 226, Finance&Trading - 226, Dating - 226",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,127,8.5,Assisted Purchase,,147,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,151,9.0
deliberatedirections.com,NaN,165,NaN,Guest Post,"Business, Career and Employment, Finance",42,67,us,10699,2097,dofollow,"Casino - 385, Finance&Trading - 385, Dating - 385",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,165,8.5,Assisted Purchase,,185,,Private Seller,,192,
eurweb.com,NaN,552,NaN,Guest Post,"Entertainment, Lifestyle, News and Media",47,70,us,236994,17485,dofollow,,meup.com,https://meup.com/?ref=6807A674CEA1F,552,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,577,8.5,Assisted Purchase,,608,
everymoviehasalesson.com,NaN,20,NaN,Guest Post,Movies,29,58,us,3769,3419,dofollow,"Casino - 40, Finance&Trading - 40, Dating - 40, Adult - 188.8, CBD - 188.8, Crypto - 188.8",collaborator.pro,https://collaborator.pro/?ref=quRNI8,20,9.0,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,23,8.5,prposting.com,https://prposting.com/ref/RnK1lLPr,26,6.5
fashiongtonpost.com,NaN,372,NaN,Guest Post,"Beauty, Culture, Lifestyle",36,36,us,6517,1371,dofollow,"Casino - 713.9, CBD - 713.9, Crypto - 713.9, Finance&Trading - 926.3, Adult - 926.3, Dating - 926.3",bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,372,7.5,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,412,8.5,backlinked.com,https://backlinked.com?ref=otjmnzu,422,5.5
fashionweekonline.com,NaN,98,NaN,Guest Post,"Beauty, Fashion, Lifestyle",40,71,us,22037,9675,dofollow,"Casino - 1109.2, Finance&Trading - 442.5, Dating - 442.5, CBD - 442.5, Crypto - 442.5",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,98,8.5,Private Seller,,120,,prposting.com,https://prposting.com/ref/RnK1lLPr,130,6.5
filmink.com.au,NaN,315,NaN,Guest Post,"Entertainment, Lifestyle, Movies",43,72,au,24855,7148,dofollow,"Casino - 357.5, Finance&Trading - 407.1, Dating - 407.1, CBD - 318.9, Crypto - 318.9, Adult - 407.1",prposting.com,https://prposting.com/ref/RnK1lLPr,315,6.5,guestpostlinks.net,https://guestpostlinks.net/ref/11/,319,8.5,ereferer.com,https://ereferer.com,326,3.0
fingerlakes1.com,NaN,125,NaN,Guest Post,"Business, News and Media, Sports",45,72,us,81046,16052,dofollow,"Casino - 325.9, Finance&Trading - 400, Dating - 400, CBD - 289.9, Crypto - 219.9",collaborator.pro,https://collaborator.pro/?ref=quRNI8,125,9.0,guestpostlinks.net,https://guestpostlinks.net/ref/11/,158,8.5,Assisted Purchase,,180,
finsmes.com,NaN,356,NaN,Guest Post,News and Media,33,77,us,1339,13852,dofollow,"Casino - 619.5, Finance&Trading - 630, Crypto - 619.5",ereferer.com,https://ereferer.com,356,3.0,backlinked.com,https://backlinked.com?ref=otjmnzu,357,5.5,collaborator.pro,https://collaborator.pro/?ref=quRNI8,360,9.0
fluxmagazine.com,NaN,122,NaN,Guest Post,Lifestyle,33,54,us,2763,4067,dofollow,"Finance&Trading - 370, Dating - 370",prnews.io,https://prnews.io/sites?i=3738683,122,10.0,Private Seller,,138,,Assisted Purchase,,142,
freeyork.org,NaN,114,NaN,Guest Post,"Business, Lifestyle, Technology",34,42,us,3600,2807,dofollow,"Casino - 286, Finance&Trading - 315, Dating - 315, CBD - 324.5",prposting.com,https://prposting.com/ref/RnK1lLPr,114,6.5,Assisted Purchase,,130,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,135,9.0
fromdev.com,NaN,127,NaN,Guest Post,Technology,31,45,us,837,2209,dofollow,"Casino - 520, Finance&Trading - 520, Dating - 520",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,127,8.5,Assisted Purchase,,130,,meup.com,https://meup.com/?ref=6807A674CEA1F,139,
gaugemagazine.com,NaN,105,NaN,Guest Post,"Automotive, Business, Transportation",30,44,us,5256,3063,dofollow,,whitepress.com,https://www.whitepress.com/gihka,105,,Assisted Purchase,,105,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,107,8.5
gethppy.com,NaN,108,NaN,Guest Post,"Business, Career and Employment",29,64,us,312,2836,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,108,8.5,Assisted Purchase,,128,,meup.com,https://meup.com/?ref=6807A674CEA1F,189,
